chr,x,y
10,112825000,112850000
10,30700000,30725000
10,103975000,104000000
10,22275000,22300000
10,20100000,20125000
10,91000000,91025000
11,65140000,65150000
11,3850000,3875000
11,10550000,10575000
11,34925000,34950000
12,25400000,25425000
12,3975000,4000000
12,44150000,44175000
12,106750000,106775000
12,69750000,69775000
12,108950000,108975000
12,32900000,32925000
12,54680000,54690000
13,103225000,103250000
13,39600000,39625000
14,23925000,23950000
15,66675000,66700000
15,49150000,49175000
15,90425000,90450000
15,65130000,65140000
15,101830000,101840000
16,30950000,30975000
17,40975000,41000000
17,38550000,38575000
17,19875000,19900000
17,61500000,61525000
17,28425000,28450000
17,19250000,19275000
18,67850000,67875000
19,15530000,15540000
19,920000,930000
19,2825000,2850000
19,47775000,47800000
19,1275000,1300000
19,14675000,14700000
19,33450000,33475000
19,54975000,55000000
19,19625000,19650000
19,19475000,19500000
19,35225000,35250000
1,35650000,35675000
1,181000000,181025000
1,109825000,109850000
1,159750000,159775000
1,47900000,47925000
1,28400000,28425000
1,45475000,45500000
1,43225000,43250000
1,171750000,171775000
1,110075000,110100000
1,89450000,89475000
1,89450000,89475000
1,45475000,45500000
1,100725000,100750000
1,165575000,165600000
1,87775000,87800000
1,236750000,236775000
1,38475000,38500000
1,200575000,200600000
1,26430000,26440000
1,146640000,146650000
1,110035000,110040000
20,52825000,52850000
21,38625000,38650000
22,19700000,19725000
22,39925000,39950000
X,47420000,47430000
X,47050000,47075000
X,77150000,77175000
2,219150000,219160000
2,66660000,66670000
2,201750000,201775000
2,10250000,10275000
2,214125000,214150000
2,172950000,172975000
2,172950000,172975000
2,70125000,70150000
3,195800000,195810000
3,194975000,195000000
3,193850000,193875000
3,184075000,184100000
3,183600000,183625000
3,49750000,49775000
4,82375000,82400000
4,55525000,55550000
4,166025000,166050000
4,170525000,170550000
4,170525000,170550000
5,139940000,139950000
5,130500000,130510000
5,130600000,130625000
5,130500000,130525000
5,53800000,53825000
5,94975000,95000000
6,31510000,31520000
6,52150000,52175000
6,41750000,41775000
6,53400000,53425000
6,75975000,76000000
6,82950000,82975000
6,132825000,132850000
6,52150000,52175000
6,151750000,151775000
7,43600000,43625000
7,73475000,73500000
7,48000000,48025000
7,44625000,44650000
7,107375000,107400000
7,44625000,44650000
7,92850000,92875000
7,99510000,99520000
8,135725000,135750000
8,101950000,101975000
8,101150000,101175000
8,128725000,128750000
8,38025000,38050000
8,103250000,103275000
8,95825000,95850000
8,91000000,91025000
9,92220000,92230000
9,130700000,130710000
9,133575000,133600000
9,36400000,36425000
9,132400000,132425000
9,79000000,79025000
10,70650000,70675000
10,17250000,17275000
10,103800000,103825000
10,46150000,46175000
10,22600000,22625000
10,15125000,15150000
10,70925000,70950000
10,93650000,93675000
11,34375000,34400000
11,10750000,10775000
11,10750000,10775000
11,77700000,77725000
11,18525000,18550000
11,17075000,17100000
12,113600000,113625000
12,109525000,109550000
12,50230000,50240000
12,123230000,123240000
13,103475000,103500000
13,110425000,110450000
14,24025000,24050000
14,21850000,21875000
14,69250000,69275000
15,45675000,45700000
15,66775000,66800000
15,43200000,43225000
15,55700000,55725000
15,74900000,74925000
15,90625000,90650000
15,49425000,49450000
15,83650000,83675000
16,84650000,84660000
16,3450000,3475000
16,67175000,67200000
16,11325000,11350000
16,2175000,2200000
16,30000000,30025000
16,50775000,50800000
16,77200000,77225000
16,10825000,10850000
17,47780000,47790000
17,41550000,41575000
17,73400000,73425000
17,62200000,62225000
17,61675000,61700000
17,46950000,46975000
17,14200000,14225000
18,56325000,56350000
18,3225000,3250000
18,72150000,72175000
19,38820000,38830000
19,6100000,6110000
19,47750000,47760000
19,2740000,2750000
19,44020000,44030000
19,10490000,10500000
19,41760000,41770000
19,2925000,2950000
19,1375000,1400000
19,14775000,14800000
19,49450000,49475000
19,33050000,33075000
19,16275000,16300000
19,19750000,19775000
1,19900000,19925000
1,27100000,27125000
1,112275000,112300000
1,112150000,112175000
1,234725000,234750000
1,161700000,161725000
1,153700000,153725000
1,169750000,169775000
1,45950000,45975000
1,47175000,47200000
1,71525000,71550000
1,86150000,86175000
1,242000000,242025000
1,226240000,226250000
1,54410000,54420000
1,45950000,45960000
1,153950000,153960000
1,85720000,85730000
1,146710000,146720000
20,30310000,30320000
20,60700000,60725000
20,45300000,45325000
20,52800000,52825000
20,52800000,52825000
20,52800000,52825000
21,35975000,36000000
22,41025000,41050000
22,30750000,30775000
X,47500000,47510000
X,129300000,129325000
X,77350000,77375000
X,151975000,152000000
2,85780000,85790000
2,28950000,28975000
2,220000000,220025000
2,171650000,171675000
2,171650000,171675000
2,163150000,163175000
2,172950000,172975000
3,40350000,40360000
3,48475000,48500000
3,195250000,195275000
3,194975000,195000000
3,51400000,51425000
3,183950000,183975000
3,33125000,33150000
3,51700000,51725000
3,179275000,179300000
3,58400000,58425000
4,74100000,74125000
4,140200000,140225000
4,113150000,113175000
4,83275000,83300000
4,106375000,106400000
4,106375000,106400000
5,140010000,140020000
5,32580000,32590000
5,126100000,126125000
5,137075000,137100000
5,34900000,34925000
5,96500000,96525000
6,18380000,18390000
6,42825000,42850000
6,35400000,35425000
6,137100000,137125000
6,42000000,42025000
6,116875000,116900000
6,28300000,28325000
6,139675000,139700000
6,27850000,27875000
6,136550000,136575000
6,84925000,84950000
6,139675000,139700000
6,15225000,15250000
7,30300000,30325000
7,137675000,137700000
7,92450000,92475000
7,120575000,120600000
7,45150000,45175000
7,141430000,141440000
7,140710000,140720000
8,42125000,42150000
8,42000000,42025000
8,91000000,91025000
8,80925000,80950000
8,128725000,128750000
8,80925000,80950000
9,130890000,130900000
9,130890000,130900000
9,130890000,130900000
9,101000000,101025000
9,15400000,15425000
9,130150000,130175000
9,130675000,130700000
9,4975000,5000000
9,79775000,79800000
9,130875000,130900000
9,130675000,130700000
