chr1,x1,y1,chr2,x2,y2,color,in_intersect_1,in_intersect_2
10,102100000,102105000,10,102190000,102195000,"0,255,255",False,False
10,99560000,99570000,10,99620000,99630000,"0,255,255",False,False
10,16870000,16880000,10,17290000,17300000,"0,255,255",False,False
10,78920000,78930000,10,79400000,79410000,"0,255,255",False,False
10,71270000,71280000,10,71390000,71400000,"0,255,255",False,False
10,111910000,111920000,10,111970000,111980000,"0,255,255",False,False
10,105470000,105480000,10,105620000,105630000,"0,255,255",False,False
10,70760000,70770000,10,70850000,70860000,"0,255,255",False,False
10,95140000,95150000,10,95240000,95250000,"0,255,255",False,False
10,70990000,71000000,10,71150000,71160000,"0,255,255",False,False
10,76010000,76020000,10,76850000,76860000,"0,255,255",False,False
10,111890000,111900000,10,112040000,112050000,"0,255,255",False,False
10,97190000,97200000,10,97370000,97380000,"0,255,255",False,False
10,95310000,95320000,10,95430000,95440000,"0,255,255",False,False
10,21780000,21790000,10,22010000,22020000,"0,255,255",False,False
10,124050000,124060000,10,124190000,124200000,"0,255,255",False,False
10,28970000,28980000,10,29270000,29280000,"0,255,255",False,False
10,33080000,33090000,10,33290000,33300000,"0,255,255",False,False
10,72660000,72670000,10,73040000,73050000,"0,255,255",False,False
10,130070000,130080000,10,131770000,131780000,"0,255,255",False,False
10,112825000,112850000,10,112950000,112975000,"0,255,255",True,False
10,97000000,97025000,10,97100000,97125000,"0,255,255",False,False
10,129700000,129725000,10,129800000,129825000,"0,255,255",False,False
10,98825000,98850000,10,98950000,98975000,"0,255,255",False,False
10,71975000,72000000,10,72100000,72125000,"0,255,255",False,False
10,30700000,30725000,10,30800000,30825000,"0,255,255",True,False
10,11550000,11575000,10,11750000,11775000,"0,255,255",False,False
10,103975000,104000000,10,104100000,104125000,"0,255,255",True,False
10,112100000,112125000,10,112300000,112325000,"0,255,255",False,False
10,30675000,30700000,10,30875000,30900000,"0,255,255",False,False
10,14600000,14625000,10,14850000,14875000,"0,255,255",False,False
10,120950000,120975000,10,121175000,121200000,"0,255,255",False,False
10,72300000,72325000,10,72500000,72525000,"0,255,255",False,False
10,75625000,75650000,10,75825000,75850000,"0,255,255",False,False
10,72300000,72325000,10,72625000,72650000,"0,255,255",False,False
10,49750000,49775000,10,49850000,49875000,"0,255,255",False,False
10,27000000,27025000,10,27150000,27175000,"0,255,255",False,False
10,101600000,101625000,10,101775000,101800000,"0,255,255",False,False
10,5475000,5500000,10,5650000,5675000,"0,255,255",False,False
10,72675000,72700000,10,72950000,72975000,"0,255,255",False,False
10,17450000,17475000,10,17625000,17650000,"0,255,255",False,False
10,88450000,88475000,10,88650000,88675000,"0,255,255",False,False
10,76000000,76025000,10,76775000,76800000,"0,255,255",False,False
10,118550000,118575000,10,118925000,118950000,"0,255,255",False,False
10,70500000,70525000,10,70650000,70675000,"0,255,255",False,False
10,93825000,93850000,10,94175000,94200000,"0,255,255",False,False
10,17050000,17075000,10,17250000,17275000,"0,255,255",False,False
10,103625000,103650000,10,103800000,103825000,"0,255,255",False,False
10,134025000,134050000,10,134150000,134175000,"0,255,255",False,False
10,43775000,43800000,10,43950000,43975000,"0,255,255",False,False
10,115550000,115575000,10,115850000,115875000,"0,255,255",False,False
10,6450000,6475000,10,6700000,6725000,"0,255,255",False,False
10,92500000,92525000,10,92600000,92625000,"0,255,255",False,False
10,11825000,11850000,10,12025000,12050000,"0,255,255",False,False
10,45950000,45975000,10,46150000,46175000,"0,255,255",False,False
10,6125000,6150000,10,6425000,6450000,"0,255,255",False,False
10,22275000,22300000,10,22600000,22625000,"0,255,255",True,False
10,30300000,30325000,10,30500000,30525000,"0,255,255",False,False
10,50600000,50625000,10,50700000,50725000,"0,255,255",False,False
10,4875000,4900000,10,5325000,5350000,"0,255,255",False,False
10,103025000,103050000,10,103325000,103350000,"0,255,255",False,False
10,125325000,125350000,10,125725000,125750000,"0,255,255",False,False
10,74125000,74150000,10,74600000,74625000,"0,255,255",False,False
10,92650000,92675000,10,93000000,93025000,"0,255,255",False,False
10,4875000,4900000,10,5450000,5475000,"0,255,255",False,False
10,28950000,28975000,10,29575000,29600000,"0,255,255",False,False
10,101150000,101175000,10,101475000,101500000,"0,255,255",False,False
10,134025000,134050000,10,134250000,134275000,"0,255,255",False,False
10,22825000,22850000,10,23250000,23275000,"0,255,255",False,False
10,27725000,27750000,10,27925000,27950000,"0,255,255",False,False
10,118425000,118450000,10,118925000,118950000,"0,255,255",False,False
10,112350000,112375000,10,112625000,112650000,"0,255,255",False,False
10,7900000,7925000,10,9325000,9350000,"0,255,255",False,False
10,61375000,61400000,10,61775000,61800000,"0,255,255",False,False
10,17325000,17350000,10,17625000,17650000,"0,255,255",False,False
10,130050000,130075000,10,130325000,130350000,"0,255,255",False,False
10,3275000,3300000,10,4800000,4825000,"0,255,255",False,False
10,61950000,61975000,10,62175000,62200000,"0,255,255",False,False
10,86000000,86025000,10,86300000,86325000,"0,255,255",False,False
10,3275000,3300000,10,4675000,4700000,"0,255,255",False,False
10,7900000,7925000,10,9225000,9250000,"0,255,255",False,False
10,24925000,24950000,10,25350000,25375000,"0,255,255",False,False
10,79800000,79825000,10,80950000,80975000,"0,255,255",False,False
10,97775000,97800000,10,98050000,98075000,"0,255,255",False,False
10,117450000,117475000,10,118025000,118050000,"0,255,255",False,False
10,14525000,14550000,10,15125000,15150000,"0,255,255",False,False
